Course Name,Course Code,Component,Major,Room,Day,Start Time,End Time,Seats,Faculty,L/T/P Hour,Open as UWE,Type,Class Notes
Explorations in 2D,ART210,LEC1,UWE,,T,4:00 PM,6:00 PM,25,"Anupam  Roy[20501650],
",2,YES,,
Explorations in 2D,ART210,PRAC1,UWE,B004,Th,4:00 PM,6:00 PM,25,"Anupam  Roy[20501650],
",2,YES,,
Film and the Moving Image,ART651,LEC1,UWE,,T,2:00 PM,4:00 PM,30,"Iram  Ghufran[20501623],
",2,YES,,
Film and the Moving Image,ART651,PRAC1,UWE,B004,Th,2:00 PM,4:00 PM,30,"Iram  Ghufran[20501623],
",2,YES,,
Plant Sciences,BIO107,LEC1,BIO1YR,,TThF,10:00 AM,11:00 AM,35,"Rohini  Garg[20500633],
",3,NO,,
Plant Sciences,BIO107,PRAC1,BIO1YR,B312,F,2:00 PM,5:00 PM,35,"Rohini  Garg[20500633],
",3,NO,,
Essentials of Biology,BIO113,LEC1,CHY1YR,,MW,11:00 AM,12:00 PM,40,"Sri Krishna Jayadev Magani[20500054],
",2,YES,,
Essentials of Biology,BIO113,PRAC1,CHY1YR,B312,Th,2:00 PM,5:00 PM,40,"Sri Krishna Jayadev Magani[20500054],
",3,YES,,
Basic Probability & Statistics,BIO114,LEC1,BIO1YR,,MWF,5:00 PM,6:00 PM,35,"Neelesh Naresh Dahanukar[20501487],
",3,NO,,
Basic Probability & Statistics,BIO114,TUT1,BIO1YR,,W,1:00 PM,2:00 PM,35,"Neelesh Naresh Dahanukar[20501487],
",1,NO,,
Bioanalytical Techniques,BIO205,LEC1,BIO2YR CHY3YR,,MW,11:00 AM,12:00 PM,30,"Naga Suresh Veerapu[20500209],
",2,YES,,
Bioanalytical Techniques,BIO205,PRAC1,BIO2YR CHY3YR,B312,M,2:00 PM,5:00 PM,30,"Naga Suresh Veerapu[20500209],
",3,YES,,
Fundamentals of Molecular Bio,BIO206,LEC1,BIO2YR,,TTh,9:00 AM,10:00 AM,30,"Richa  Priyadarshini[20500150],
",2,YES,,
Fundamentals of Molecular Bio,BIO206,PRAC1,BIO2YR,B308,W,2:00 PM,5:00 PM,30,"Richa  Priyadarshini[20500150],
",3,YES,,
Immunology,BIO207,LEC1,BIO2YR,,TTh,10:00 AM,11:00 AM,30,"Sri Krishna Jayadev Magani[20500054],
",2,YES,,
Immunology,BIO207,PRAC1,BIO2YR,B312,F,9:00 AM,12:00 PM,30,"Sri Krishna Jayadev Magani[20500054],
",3,YES,,
Bioinformatics,BIO208,LEC1,BIO2YR,,MW,9:30 AM,10:30 AM,30,"Ashutosh  Singh[20500053],
",2,YES,,
Bioinformatics,BIO208,PRAC1,BIO2YR,A313,F,2:00 PM,5:00 PM,30,"Ashutosh  Singh[20500053],
",3,YES,,
"Genomics, Proteomics & Sys Bio",BIO305,LEC1,BIO3YR,,TTh,2:00 PM,3:00 PM,30,"Puli Chandramouli Reddy[20501494],
Rajan  Vyas[20501250],
",2,YES,,
"Genomics, Proteomics & Sys Bio",BIO305,PRAC1,BIO3YR,B312,W,2:00 PM,5:00 PM,30,"Puli Chandramouli Reddy[20501494],
Rajan  Vyas[20501250],
",3,YES,,
"IPR, Patent Laws & Bioethics",BIO307,LEC1,BIO3YR,,MW,11:00 AM,12:00 PM,35,,3,YES,,
"IPR, Patent Laws & Bioethics",BIO307,LEC1,BIO3YR,,T,1:00 PM,2:00 PM,35,,3,YES,,
Cancer Biology,BIO309,LEC1,BIO3YR,,TThF,10:00 AM,11:00 AM,20,"Anindita  Chakrabarty[20500316],
",3,YES,Major Elective,
Neuroscience and Cognition,BIO322,LEC1,BIO3YR,,TThF,8:00 AM,9:00 AM,30,"Prasun Kumar Roy[20501577],
Sachin Suhas Deshmukh[20501643],
",3,YES,Major Elective,
Epigenetics,BIO323,LEC1,BIO3YR,,MWF,1:00 PM,2:00 PM,30,"Sanjeev Anant Galande[20501434],
Ashish  Gupta[20500190],
",3,YES,Major Elective,
Developmental Biology,BIO326,LEC1,BIO3YR,,MW,9:30 AM,10:30 AM,30,"Puli Chandramouli Reddy[20501494],
Geetanjali  Chawla[20501652],
",3,YES,,
Developmental Biology,BIO326,PRAC1,BIO3YR,B314,M,2:00 PM,5:00 PM,30,"Geetanjali  Chawla[20501652],
Puli Chandramouli Reddy[20501494],
",3,YES,,
Host-Pathogen Interactions....,BIO327,LEC1,BIO3YR,,TThF,9:00 AM,10:00 AM,30,"Soumya  Pati[20500398],
",3,YES,Major Elective,
Medical Microbiology,BIO328,LEC1,BIO3YR,,TThF,10:00 AM,11:00 AM,30,"Richa  Priyadarshini[20500150],
Koyeli  Mapa[20500426],
",3,YES,Major Elective,
Systems Biology in Drug Disc..,BIO329,LEC1,BIO3YR,,MWF,5:00 PM,6:00 PM,30,"Sanjeev Anant Galande[20501434],
",3,YES,Major Elective,
Project Dissertation,BIO403,PRAC1,BIO4YR,B316,,,,20,"Neelesh Naresh Dahanukar[20501487],
",30,NO,,
Objects and Histories,CCC222,LEC1,CCC,,TThF,11:00 AM,12:00 PM,40,"Sudeshna  Guha[20500519],
",3,,,
Whose Child is it Anyway? The Global Politics of Childhood,CCC249,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,Divya Kannan,3,,,
Conspiracy Theories: History’s Wicked Twin,CCC250,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,,3,,,
Genetic Engg. - Jrny of Life,CCC402,LEC1,CCC,,TThF,11:00 AM,12:00 PM,120,"Deepak  Sehgal[20500085],
",3,,,
Chemistry in our Life,CCC407,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Nidhi  Malhotra[20501761],
",3,,,
Science of Drug Addiction and,CCC416,LEC1,CCC,,TThF,11:00 AM,12:00 PM,120,"Naga Suresh Veerapu[20500209],
",3,,,
"Cancer,a Deadly Disease.......",CCC419,LEC1,CCC,,TThF,11:00 AM,12:00 PM,50,"Anindita  Chakrabarty[20500316],
",3,,,
Evolution of life,CCC423,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,"Kshatresh Dutta Dubey[20501539],
",3,,,
General Biochemistry..........,CCC441,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Animesh  Samanta[20501079],
",3,,,
Patterns and Universality.....,CCC443,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Santosh  Kumar[20500193],
",3,,,
Brain Sciences and Cognition,CCC512,LEC1,CCC,,TThF,11:00 AM,12:00 PM,50,"Prasun Kumar Roy[20501577],
Soumya  Pati[20500398],
",3,,,
Introduction to Robotics,CCC515,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Aakash Kishore Sinha[20500738],
",3,,,
A Gentle Intro. to Python,CCC634,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,"Pooja  Singh[20501291],
",3,YES,,
Logic and Reasoning,CCC639,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Dipti  Dubey[20501196],
",3,,,
"Atoms,molecules & interactions",CCC682,LEC1,CCCC,,TTh,11:00 AM,12:30 PM,60,"Swaminath  Bharadwaj Gourishankar[20501653],
",3,,,
A beginner's guide to Nuclear,CCC684,LEC1,CCC,,TThF,11:00 AM,12:00 PM,60,"Sujit Kashinath Tandel[20501802],
",3,,,
Hazardous Waste Management,CCC720,LEC1,CCC,,TTh,11:00 AM,12:30 PM,100,"Sailesh Narayan Behera[20500422],
",3,,,
Media and Climate Change,CCC721,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,Bahar Dutt,3,,,
History of Engrg. Sciences,CCC724,LEC1,CCC,,TTh,11:00 AM,12:30 PM,60,"Gurmail Singh Benipal[20501488],
",3,,,
The Art of Numbers,CCC801,LEC1,CCC,,TTh,11:00 AM,12:30 PM,50,"Neha  Gupta[20500087],
",3,,,
Analysis & Bus. Modelling,CCC805,LEC1,CCC,,TTh,11:00 AM,12:30 PM,50,"Charu  Sharma[20500010],
",3,,,
Engineering Mechanics,CED101,LEC1,CED1YR,,TTh,2:00 PM,3:30 PM,40,"Gyan  Vikash[20500145],
",3,YES,,
Engineering Mechanics,CED101,TUT1,CED1YR,,W,1:00 PM,2:00 PM,40,"Gyan  Vikash[20500145],
",1,YES,,
Engineering Hydrology,CED203,LEC1,CED2YR,,MW,11:00 AM,12:00 PM,30,"Gopal Das Singhal[20500079],
",2,YES,,
Hydraulic Engineering,CED207,LEC1,CED2YR,,TTh,10:00 AM,11:00 AM,30,"Ellora  Padhi[20501403],
",2,YES,,
Hydraulic Engineering,CED207,PRAC1,CED2YR,C009,M,3:00 PM,5:00 PM,30,"Gopal Das Singhal[20500079],
",2,YES,,
Intro. to Bldg Info. Modelling,CED213,LEC1,CED3YR CED4YR,,MW,9:30 AM,11:00 AM,30,"Ellora  Padhi[20501403],
",3,NO,Major Elective,
Risk and Reliability Analysis,CED218,LEC1,CED2YR,,TThF,8:00 AM,9:00 AM,30,"Manoj Kumar Singh[20501585],
",3,NO,,
Concrete Technology,CED219,LEC1,CED2YR,,MW,9:30 AM,10:30 AM,30,"Sumedha  Moharana[20500215],
",2,YES,,
Concrete Technology,CED219,PRAC1,CED2YR,C006,W,3:00 PM,5:00 PM,30,"Sumedha  Moharana[20500215],
",2,YES,,
Structural Analysis,CED220,LEC1,CED2YR,,TThF,9:00 AM,10:00 AM,30,"Ghanshyam  Pal[20500891],
",3,NO,,
Foundation Engg. & Design,CED306,LEC1,CED3YR,,TTh,2:00 PM,3:30 PM,30,"Jagabandhu  Dixit[20500135],
",3,NO,,
Environmental Engineering,CED308,LEC1,CED3YR,,TTh,3:30 PM,5:00 PM,60,"Susant Kumar Padhi[20501001],
",3,YES,,
Environmental Engineering,CED308,PRAC1,CED3YR,C017,M,3:00 PM,5:00 PM,60,"Susant Kumar Padhi[20501001],
",2,YES,,
Transportation Engineering II,CED309,LEC1,CED3YR CED4YR,,MW,9:30 AM,11:00 AM,30,"Shalini  Rankavat[20501010],
",3,NO,Major Elective,
Remote Sensing and GIS,CED310,LEC1,CED3YR CED4YR,,TTh,9:00 AM,10:00 AM,30,"Hitesh  Upreti[20501296],
",2,NO,Major Elective,
Remote Sensing and GIS,CED310,PRAC1,CED3YR CED4YR,C116,W,3:00 PM,5:00 PM,30,"Hitesh  Upreti[20501296],
",2,NO,Major Elective,
Design of Steel Structures,CED401,LEC1,CED3YR,,MW,8:00 AM,9:30 AM,30,"Atri  Nath[20501588],
",3,NO,,
Introduction to Chemical & Bio,CHD111,LEC1,CHD1YR,,TTh,9:00 AM,10:00 AM,30,"Rajendra Prasad Chhabra[20501592],
",2,YES,,
Introduction to Chemical & Bio,CHD111,TUT1,CHD1YR,,F,9:00 AM,10:00 AM,30,"Rajendra Prasad Chhabra[20501592],
",1,YES,,
Industrial and Engg. Chemistry,CHD223,LEC1,CHD2YR,,TThF,9:00 AM,10:00 AM,30,"Ranjit  Kumar[20501593],
",3,NO,,
